GP ACCOUNT,NS ACCOUNT
0-10-00-340-000,*** NO MAPPED
0-20-00-340-000,*** NO MAPPED
0-21-00-340-000,*** NO MAPPED
0-22-00-340-000,*** NO MAPPED
0-23-00-340-000,*** NO MAPPED
0-24-00-340-000,*** NO MAPPED
0-30-00-340-000,*** NO MAPPED
0-34-00-340-000,*** NO MAPPED
0-40-00-340-000,*** NO MAPPED
0-50-00-340-000,*** NO MAPPED
0-60-00-340-000,*** NO MAPPED
0-65-00-340-000,*** NO MAPPED
0-70-00-340-000,*** NO MAPPED
0-80-00-340-000,*** NO MAPPED
0-85-00-340-000,*** NO MAPPED
0-90-00-340-000,*** NO MAPPED
0-95-00-340-000,*** NO MAPPED
0-96-00-340-000,*** NO MAPPED
0-99-00-340-000,*** NO MAPPED
2-10-11-129-171,129101
2-10-11-129-181,129101
2-10-11-129-191,129101
2-10-11-129-195,129101
2-10-11-129-196,129101
2-70-71-101-100,101104
2-70-71-111-100,111001
2-70-71-111-185,111001
2-70-71-115-100,115000
2-70-71-121-100,121000
2-70-71-128-100,128000
2-70-71-129-111,129101
2-70-71-129-121,129101
2-70-71-129-122,129101
2-70-71-129-131,129101
2-70-71-129-171,129101
2-70-71-129-181,129101
2-70-71-129-185,129101
2-70-71-129-191,129101
2-70-71-129-192,129101
2-70-71-129-193,129101
2-70-71-129-195,129101
2-70-71-129-196,129101
2-70-71-131-100,131105
2-70-71-131-112,131105
2-70-71-131-114,131105
2-70-71-131-116,131105
2-70-71-133-100,133100
2-70-71-141-00 ,*** NO MAPPED
2-70-71-141-100,141100
2-70-71-141-105,141105
2-70-71-143-100,143100
2-70-71-143-101,143101
2-70-71-143-104,143104
2-70-71-143-105,143112
2-70-71-144-108,144101
2-70-71-145-100,145100
2-70-71-146-100,146100
2-70-71-146-101,146101
2-70-71-162-100,*** NO MAPPED
2-70-71-163-100,*** NO MAPPED
2-70-71-201-100,201100
2-70-71-209-100,209100
2-70-71-209-111,209101
2-70-71-209-121,209100
2-70-71-209-122,209100
2-70-71-209-130,209100
2-70-71-209-131,209100
2-70-71-209-171,209100
2-70-71-209-180,209101
2-70-71-209-181,209101
2-70-71-209-185,209101
